year,Core Id,Sample Id,Latitude,Longitude,Depth,Bulk Density,OM,SOC,Organic Carbon Density (g/cm^3)
2023,EX-01,EX-01-1,55.3,-86.58,10,0.8,5.17,3,0.024
2023,EX-01,EX-01-2,55.3,-86.58,15,1,3.45,2,0.02
2023,EX-01,EX-01-3,55.3,-86.58,15,1.2,1.72,1,0.012
2023,EX-02,EX-02-1,55.4,-86.46,10,0.6,16.38,9.5,0.057
2023,EX-02,EX-02-2,55.4,-86.46,15,0.8,12.5,7.25,0.058
2023,EX-02,EX-02-3,55.4,-86.46,15,1,2.07,1.2,0.012
2023,EX-03,EX-03-1,55.28,-86.34,10,0.75,21.38,12.4,0.093
2023,EX-03,EX-03-2,55.28,-86.34,15,1.25,12.96,7.52,0.094
2023,EX-03,EX-03-3,55.28,-86.34,15,0.8,2.59,1.5,0.012
2024,EX-04,EX-04-1,55.42,-86.59,10,1.2,3.88,2.25,0.027
2024,EX-04,EX-04-2,55.42,-86.59,15,1,4.48,2.6,0.026
2024,EX-04,EX-04-3,55.42,-86.59,15,1.25,1.1,0.64,0.008
2024,EX-05,EX-05-1,55.36,-86.53,10,1.5,12.76,7.4,0.111
2024,EX-05,EX-05-2,55.36,-86.53,15,0.8,23.7,13.75,0.11
2024,EX-05,EX-05-3,55.36,-86.53,15,1,1.38,0.8,0.008
2024,EX-06,EX-06-1,55.26,-86.55,10,0.6,11.21,6.5,0.039
2024,EX-06,EX-06-2,55.26,-86.55,15,1.25,5.24,3.04,0.038
2024,EX-06,EX-06-3,55.26,-86.55,15,1,1.38,0.8,0.008
2024,EX-07,EX-07-1,55.31,-86.49,10,0.6,25.86,15,0.09
2024,EX-07,EX-07-2,55.31,-86.49,15,1,15.86,9.2,0.092
2024,EX-07,EX-07-3,55.31,-86.49,15,0.8,0.86,0.5,0.004
2024,EX-08,EX-08-1,55.25,-86.44,10,0.75,6.9,4,0.03
2024,EX-08,EX-08-2,55.25,-86.44,15,0.8,6.9,4,0.032
2024,EX-08,EX-08-3,55.25,-86.44,15,1.25,0.55,0.32,0.004
2024,EX-09,EX-09-1,55.44,-86.47,10,1.2,14.65,8.5,0.102
2024,EX-09,EX-09-2,55.44,-86.47,15,1.25,14.34,8.32,0.104
2024,EX-09,EX-09-3,55.44,-86.47,15,1,0.69,0.4,0.004
2024,EX-10,EX-10-1,55.34,-86.41,10,1.5,5.17,3,0.045
2024,EX-10,EX-10-2,55.34,-86.41,15,1,7.93,4.6,0.046
2024,EX-10,EX-10-3,55.34,-86.41,15,1,2.07,1.2,0.012
2024,EX-11,EX-11-1,55.43,-86.39,10,0.6,21.55,12.5,0.075
2024,EX-11,EX-11-2,55.43,-86.39,15,0.8,15.95,9.25,0.074
2024,EX-11,EX-11-3,55.43,-86.39,15,0.8,1.72,1,0.008
2024,EX-12,EX-12-1,55.38,-86.36,10,0.6,9.48,5.5,0.033
2024,EX-12,EX-12-2,55.38,-86.36,15,1.25,4.69,2.72,0.034
2024,EX-12,EX-12-3,55.38,-86.36,15,1.25,1.66,0.96,0.012
2024,EX-13,EX-13-1,55.33,-86.33,10,0.75,24.14,14,0.105
2024,EX-13,EX-13-2,55.33,-86.33,15,1,18.27,10.6,0.106
2024,EX-13,EX-13-3,55.33,-86.33,15,1.2,1.72,1,0.012
2024,EX-14,EX-14-1,55.26,-86.37,10,1.2,6.03,3.5,0.042
2024,EX-14,EX-14-2,55.26,-86.37,15,0.8,9.48,5.5,0.044
2024,EX-14,EX-14-3,55.26,-86.37,15,1,0.69,0.4,0.004
2024,EX-15,EX-15-1,55.42,-86.32,10,1.5,11.38,6.6,0.099
2024,EX-15,EX-15-2,55.42,-86.32,15,1.25,13.52,7.84,0.098
2024,EX-15,EX-15-3,55.42,-86.32,15,0.8,1.72,1,0.008
2024,EX-16,EX-16-1,55.45,-86.51,10,0.6,25,14.5,0.087
2024,EX-16,EX-16-2,55.45,-86.51,15,1,14.83,8.6,0.086
2024,EX-16,EX-16-3,55.45,-86.51,15,1.25,1.1,0.64,0.008
