dataset,product,asset_id,asset_type,role,reduce,derive,units_raw,to_kg_c_m2,depth_basis,native_res_m,visibility,pairs_with,note
li2025_peat_mean,Li et al. (2025) Hudson Bay Lowlands peat carbon,projects/ee-cathalpdoherty2/assets/McMasterCarbon30mkgm2version1,image,prior_mean,yes,,kg C/m2,1,full peat column (surface to base of peat),30,private,li2025_peat_uncertainty,PRIMARY PRIOR. Peat-specific: NoData over mineral ground and open water. The spreadsheet expects ~44% coverage of the Fort Severn AOI - the coverage_frac column is the check. '30m' is PIXEL SIZE not depth.
li2025_peat_uncertainty,Li et al. (2025) Hudson Bay Lowlands peat carbon,projects/ee-cathalpdoherty2/assets/McMasterUncertaintyCarbon30mkgm2,image,prior_uncertainty,yes,,kg C/m2,1,full peat column (surface to base of peat),30,private,li2025_peat_mean,Same depth basis and grid as the mean so it scales by the same shallow fraction. This is the layer that makes an uncertainty-reduction claim possible.
sothe2022_gbc_0_30cm,Sothe et al. (2022) Global Biogeochemical Cycles,projects/ee-cathalpdoherty2/assets/McMaster_WWFCanada_soil_carbon30cm,image,prior_mean,yes,,kg C/m2,1,0-30 cm,250,private,,Depth basis matches the community cores. NO 0-30 cm uncertainty layer exists in this catalogue - uncertainty is NA by construction and must not be borrowed from the 0-1 m layer.
sothe2022_gbc_0_1m,Sothe et al. (2022) Global Biogeochemical Cycles,projects/sat-io/open-datasets/carbon_stocks_ca/sc,image,prior_mean,yes,,kg C/m2,1,0-1 m,250,public,sothe2022_gbc_0_1m_uncertainty,Awesome-GEE community catalog. Known to overestimate SOC by ~1.5-2x in Alberta agricultural soils (Hengl et al. 2023).
sothe2022_gbc_0_1m_uncertainty,Sothe et al. (2022) Global Biogeochemical Cycles,projects/carbon-learning-library/assets/McMasterWWFCanadasoilcarbon1muncertainty250mkgm2version3,image,prior_uncertainty,yes,,kg C/m2,1,0-1 m,250,private,sothe2022_gbc_0_1m,CAUTION from the spreadsheet: this is 0-1 m. It does NOT match the 0-30 cm stock layer and the two must not be paired.
soilgrids_0_30cm,SoilGrids 2.0 (ISRIC / WoSIS),,image,prior_mean,yes,soilgrids_stock_0_30,kg C/m2,1,0-30 cm,250,public,,Derived in-script from soc_mean + bdod_mean so the depth integration matches the one applied to the field cores: (soc/10) x (bdod/100) x thickness_cm / 100. Tends to underestimate peatland SOC.
soilgrids_soc_mean,SoilGrids 2.0 (ISRIC / WoSIS),projects/soilgrids-isric/soc_mean,image,component,no,,dg/kg,,per GlobalSoilMap depth band,250,public,,Component of soilgrids_0_30cm. Divide by 10 for g/kg. Not reduced on its own.
soilgrids_bdod_mean,SoilGrids 2.0 (ISRIC / WoSIS),projects/soilgrids-isric/bdod_mean,image,component,no,,cg/cm3,,per GlobalSoilMap depth band,250,public,,Component of soilgrids_0_30cm. Divide by 100 for g/cm3. Not reduced on its own.
wosis_canada,ISRIC / WoSIS,projects/north-star-project-470316/assets/wosis_layers_canada,table,point_db,yes,,n/a,,variable (per profile),,private,,Point database - counted within the AOI, not reduced to a mean surface. Global WOSIS is 92% United States; only the Canada subset is used here.
canpeat_profiles,Canadian Peatland Database (CanPeat),projects/north-star-project-470316/assets/peat_profiles,table,point_db,yes,,n/a,,variable (peat depth and SOC profiles),,private,,Point database - counted within the AOI. 37072 layers / 1217 profiles held locally.
combined_profiles,Combined profile collection (WOSIS 2023 + CanPeat + Janousek),projects/north-star-project-470316/assets/combined_profiles,table,point_db,yes,,n/a,,per-layer and per-profile,,private,,Point database - counted within the AOI. 11547 profiles after harmonisation.
sothe2022_geoderma,Sothe et al. (2022) Geoderma,,none,no_asset,no,,g/kg,,"0-5, 5-15, 15-30, 30-60, 60-100 cm",250,none,,NO GEE ASSET. Intermediate concentration product (g/kg not stock); input to the GBC stock paper above. Download from doi.org/10.4121/16619749.
geng2025_slgc,Geng et al. (2025) Soil Landscape Grids of Canada,,none,no_asset,no,,kg/m2,,"0-5, 5-15, 15-30, 30-60, 60-100 cm",100,none,,NO GEE ASSET. Highest-resolution national product (100 m) but agriculture-focused. Download from Zenodo doi.org/10.5281/zenodo.15473720 and ingest as a personal asset if needed.
hengl2023_alberta,Hengl et al. (2023) Alberta SOC at 30 m,,none,no_asset,no,,t/ha,,0-1 m,30,none,,NO GEE ASSET. Alberta agricultural lands only - outside this AOI entirely. Kept in the inventory as an explicit NA rather than a silent omission.
olefeldt2016_thermokarst,Olefeldt et al. (2016) Arctic Circumpolar Thermokarst,,none,no_asset,no,,kg C/m2,,0-3 m,,none,,NOT A RASTER. Vector polygons (ORNL DAAC); must be rasterised before any pixel comparison.
hugelius2013_ncscdv2,Hugelius et al. (2013) NCSCDv2,,none,no_asset,no,,kg/m2,,"0-30, 0-100, 100-200, 200-300 cm",,none,,NOT A RASTER. Polygon / rasterised GeoTIFF-NetCDF from bolin.su.se/data/ncscd/. Unique deep-soil coverage to 3 m.
treat2024_review,Treat et al. (2024) Permafrost Carbon review,,none,no_asset,no,,n/a,,variable,,none,,NOT A RASTER. Review and synthesis - no original spatial product exists.
npdb_aafc,AAFC National Pedon Database (NPDB),,none,no_asset,no,,n/a,,per-horizon,,none,,NO GEE ASSET - local CSVs only. Zero mineral pedons fall inside the Hudson & James Bay Lowlands.
canpeat_synthesis,Can-PEAT,,none,no_asset,no,,n/a,,variable,,none,,NO GEE ASSET. Literature synthesis; covered in practice by the CanPeat asset above.
ogs_riley,Ontario Geological Survey Riley Dataset,,none,no_asset,no,,n/a,,peat depth,,none,,NO GEE ASSET. Availability may require a request to OGS. Valuable for validating peat depth in the Hudson & James Bay Lowlands.
janousek_tidal,Janousek et al. US Pacific and Gulf coast tidal wetland soils,,none,no_asset,no,,n/a,,per-layer,,none,,NO GEE ASSET - local CSVs only. Ecosystem contrast; no profile falls within this AOI.
